,didok,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing_standort_bezeichnung,parkrail_app,parkrail_webshop,parkrail_lokal,parkrail_automat,bpuic,bezeichnung_offiziell,abkuerzung,lod,tu_nummer,meteo,plz,geopos.lon,geopos.lat,train_station_ids
0,10,,,,,,,,"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
494,4117,7.0,4.0,40.0,400.0,07.00 - 19.00,,,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,0.0,0.0,0.0,8504117,Oberwangen,OWA,http://lod.opentransportdata.swiss/didok/8504117,11,https://meteo.sbb.ch/?didok=8504117,3173,7.362195655252549,46.91457108567835,/8504117/8504104
495,4120,30.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Moudon Gare,1.0,1.0,0.0,1.0,8504120,Moudon,MD,http://lod.opentransportdata.swiss/didok/8504120,11,https://meteo.sbb.ch/?didok=8504120,1510,6.802507939012099,46.66805734102309,/8504120
496,4121,27.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,Lucens Gare,1.0,1.0,0.0,1.0,8504121,Lucens,LUC,http://lod.opentransportdata.swiss/didok/8504121,11,https://meteo.sbb.ch/?didok=8504121,1522,6.842150233107703,46.70777137450949,/8504121
497,4122,17.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8504122,Granges-Marnand,GM,http://lod.opentransportdata.swiss/didok/8504122,11,https://meteo.sbb.ch/?didok=8504122,1523,6.894289728929804,46.75884492426049,/8504122
498,4123,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8504123,Corcelles-Nord,CN,http://lod.opentransportdata.swiss/didok/8504123,11,https://meteo.sbb.ch/?didok=8504123,1562,6.960294474151911,46.83526211170647,/8504123/8504135
499,4124,6.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8504124,Dompierre FR,DOP,http://lod.opentransportdata.swiss/didok/8504124,11,https://meteo.sbb.ch/?didok=8504124,1563,6.9853688034773604,46.85440276234431,/8504124
500,4125,67.0,0.0,0.0,0.0,,,,Parkplatz der Gemeinde,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8504125,Domdidier,DOM,http://lod.opentransportdata.swiss/didok/8504125,11,https://meteo.sbb.ch/?didok=8504125,1564,7.011382575288418,46.86851205897093,/8504125
501,4127,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8504127,Faoug,FG,http://lod.opentransportdata.swiss/didok/8504127,11,https://meteo.sbb.ch/?didok=8504127,1595,7.074546229779953,46.9083103478173,/8504127
502,4129,4.0,0.0,0.0,0.0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,0.0,0.0,0.0,0.0,8504129,Galmiz,GZ,http://lod.opentransportdata.swiss/didok/8504129,11,https://meteo.sbb.ch/?didok=8504129,3285,7.153207343830569,46.9508706261254,/8504129
503,4130,44.0,8.0,80.0,800.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8504130,Yvonand,YND,http://lod.opentransportdata.swiss/didok/8504130,11,https://meteo.sbb.ch/?didok=8504130,1462,6.746687333359222,46.80087548917571,/8504130
